Model,Micro-Architecture / Process,Launch,Cuda Cores,Base Clock (MHz),Max Boost Clock (MHz),Bus Type,Bus Width (bits),Size (GB),Clock (MT/s),Bandwidth (GB/s),Half Precision (GFLOPS),Single Precision (GFLOPS),Double Precision (GFLOPS),TDP (Watts), Price ,Unnamed: 16, Scaled Performance HP , Scaled Performance SP , Scaled Performance DP ,P/P HP (GFLOPS/$),P/P SP (GFLOPS/$),P/P DP (GFLOPS/$),Scaled P/P HP (%),Scaled P/P SP (%),Scaled P/P DP (%),VRAM/$ (GB/$),Scaled VRAM/$ (%),Bandwidth/$ (GB/s/$),Scaled Bandwidth/$ (%),Composite Score,Unnamed: 31,NVLink Support,Bus Interface,L2 Cache (MB),Notes,Profile,Slots,Tensor Cores,Tensor Core Gen,End of Life,EOL Date
RTX 6000 Ada Generation,Ada Lovelace,12/3/2022,"18,176",915,"2,505",GDDR6,384,48,"20,000",960,"91,060","91,060","1,423.00",300," $ 7,198.00 ",,12.04%,100.00%,5.56%,12.65,12.65,0.2,7.55%,6.07%,0.32%,0.007,1.50%,0.133,0.91%,3.64%,,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,568,4th Gen (Ada),No,
Tesla L40,Ada Lovelace,10/13/2022,"18,176",735,"2,490",GDDR6,384,48,"2,250",864,"362,066","90,516","1,414.00",300," $ 8,627.99 ",,47.86%,99.40%,5.52%,41.96,10.49,0.16,25.05%,5.03%,0.26%,0.006,1.25%,0.1,0.69%,3.00%,,No,PCIe 4.0 x16,,PCIe card (dual-slot),,,568,4th Gen (Ada),No,
GeForce RTX 4090,TSMC 4N,10/12/2022,"18,176","2,230","2,520",GDDR6X,384,24,"21,000","1,008","73,100","73,100","1,142.00",450," $ 1,948.99 ",,9.66%,80.28%,4.46%,37.51,37.51,0.59,22.39%,17.99%,0.94%,0.012,2.77%,0.517,3.55%,10.57%,,No,PCIe 4.0 x16,72.0,,,,512,4th Gen (Ada),No,
RTX 5000 Ada Generation,Ada Lovelace,8/9/2023,"12,800","1,155","2,550",GDDR6,256,32,"18,000",756,"65,280","65,280","1,020.00",250," $ 4,499.99 ",,8.63%,71.69%,3.98%,14.51,14.51,0.23,8.66%,6.96%,0.37%,0.007,1.60%,0.168,1.15%,4.17%,,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,400,4th Gen (Ada),No,
Tesla H100,Hopper,3/22/2022,"14,592","1,065","1,688",HBM2e,"5,120",80,"1,000","2,039","756,449","51,200","25,600.00",350," $ 40,745.00 ",,100.00%,56.23%,100.00%,18.57,1.26,0.63,11.08%,0.60%,1.01%,0.002,0.44%,0.05,0.34%,0.50%,,2-way NVLink,PCIe 5.0 x16,,PCIe card (dual-slot),,,640,4th Gen (Hopper),No,
GeForce RTX 4080,TSMC 4N,11/16/2022,"9,728","2,210","2,505",GDDR6X,256,16,"22,400",717,"43,000","43,000",672.00,320," $ 1,020.99 ",,5.68%,47.22%,2.63%,42.12,42.12,0.66,25.14%,20.20%,1.06%,0.016,3.52%,0.702,4.82%,12.18%,,No,PCIe 4.0 x16,64.0,,,,304,4th Gen (Ada),No,
RTX 4500 Ada Generation,Ada Lovelace,8/9/2023,"7,680","2,070","2,580",GDDR6,192,24,"18,000",432,"39,630","39,630",619.00,210," $ 4,624.08 ",,5.24%,43.52%,2.42%,8.57,8.57,0.13,5.12%,4.11%,0.22%,0.005,1.17%,0.093,0.64%,2.51%,,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,240,4th Gen (Ada),No,
Tesla A100 (80 GB),Ampere,5/14/2020,"6,912",765,"1,410",HBM2,"5,120",80,"1,215","1,555","312,000","19,500","9,700.00",250," $ 15,800.00 ",,41.25%,21.41%,37.89%,19.75,1.23,0.61,11.79%,0.59%,0.99%,0.005,1.14%,0.098,0.68%,0.75%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,432,3rd Gen (Ampere),No,
Tesla A16,Ampere,4/12/2021,"5,120",885,"1,695",GDDR6,512,64,"7,242",800,"73,728","18,432","1,084.80",250," $ 2,799.00 ",,9.75%,20.24%,4.24%,26.34,6.59,0.39,15.73%,3.16%,0.63%,0.023,5.14%,0.286,1.96%,3.35%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,320,3rd Gen (Ampere),No,
RTX A6000,Ampere,10/5/2020,"10,752","1,410","1,800",GDDR6,384,48,"16,000",768,"38,710","38,710","1,209.67",300," $ 3,599.00 ",,5.12%,42.51%,4.73%,10.76,10.76,0.34,6.42%,5.16%,0.54%,0.013,3.00%,0.213,1.46%,3.69%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,336,3rd Gen (Ampere),No,
GeForce RTX 3090 Ti,Samsung 8LPP,3/29/2022,"10,752","1,560","1,860",GDDR6X,384,24,"21,000","1,008","33,500","33,500",524.00,450," $ 1,199.00 ",,4.43%,36.79%,2.05%,27.94,27.94,0.44,16.68%,13.40%,0.70%,0.02,4.50%,0.841,5.77%,9.27%,,2-way NVLink,PCIe 4.0 x16,6.0,,,,336,3rd Gen (Ampere),Yes,9/2023
Tesla A40,Ampere,10/5/2020,"10,752","1,305","1,740",GDDR6,384,48,"7,248",696,"149,680","37,420","1,168.00",300," $ 5,183.71 ",,19.79%,41.09%,4.56%,28.88,7.22,0.23,17.24%,3.46%,0.36%,0.009,2.08%,0.134,0.92%,2.48%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,336,3rd Gen (Ampere),No,
